Timezone,Amount,Rate
GMT+000000 Africa/Casablanca,9,0.0003515625
GMT+000000 Africa/Johannesburg,3,0.0001171875
GMT+000000 America/Bogota,11,0.0004296875
GMT+000000 America/Costa_Rica,11,0.0004296875
GMT+000000 America/Dawson_Cree,6,0.000234375
GMT+000000 America/El_Salvador,11,0.0004296875
GMT+000000 America/La_Paz,4,0.00015625
GMT+000000 America/Panama,5,0.0001953125
GMT+000000 America/Phoenix,487,0.0190234375
GMT+000000 America/Port_of_Spa,3,0.0001171875
GMT+000000 America/Tegucigalpa,7,0.0002734375
GMT+000000 Asia/Almaty,8,0.0003125
GMT+000000 Asia/Bahrain,21,0.0008203125
GMT+000000 Asia/Kuching,11,0.0004296875
GMT+000000 Asia/Kuwait,106,0.004140625
GMT+000000 Asia/Makassar,28,0.00109375
GMT+000000 Asia/Phnom_Penh,4,0.00015625
GMT+000000 Asia/Saigon,25,0.0009765625
GMT+000000 Etc/GMT+2,7,0.0002734375
GMT+03:00 Asia/Qatar,18,0.000703125
GMT+03:00 Asia/Riyadh,102,0.003984375
GMT+04:00 Asia/Dubai,134,0.005234375
GMT+04:00 Asia/Muscat,22,0.000859375
GMT+05:30 Asia/New_Delhi,88,0.0034375
GMT+07:00 Asia/Bangkok,289,0.0112890625
GMT+07:00 Asia/Jakarta,316,0.01234375
GMT+08:00 Asia/Beijing,2731,0.1066796875
GMT+08:00 Asia/Kuala_Lumpur,282,0.011015625
GMT+08:00 Asia/Macau,4,0.00015625
GMT+08:00 Asia/Manila,298,0.011640625
GMT+08:00 Asia/Taipei,393,0.0153515625
GMT+09:00 Asia/Seoul,993,0.0387890625
GMT+09:00 Asia/Tokyo,1237,0.0483203125
GMT+0:00 Atlantic/Canary,1,3.90625e-05
GMT+0:00 Europe/Dublin,73,0.0028515625
GMT+0:00 Europe/Lisbon,11,0.0004296875
GMT+0:00 Europe/London,901,0.0351953125
GMT+10:00 Australia/Brisbane,8,0.0003125
GMT+10:00 Australia/Melbourne,5,0.0001953125
GMT+10:00 Australia/Sydney,9,0.0003515625
GMT+12:00 Pacific/Auckland,24,0.0009375
GMT+1:00 Europe/Amsterdam,59,0.0023046875
GMT+1:00 Europe/Andorra,1,3.90625e-05
GMT+1:00 Europe/Berlin,162,0.006328125
GMT+1:00 Europe/Brussels,19,0.0007421875
GMT+1:00 Europe/Budapest,16,0.000625
GMT+1:00 Europe/Copenhagen,21,0.0008203125
GMT+1:00 Europe/Luxembourg,2,7.8125e-05
GMT+1:00 Europe/Madrid,100,0.00390625
GMT+1:00 Europe/Monaco,2,7.8125e-05
GMT+1:00 Europe/Oslo,17,0.0006640625
GMT+1:00 Europe/Paris,136,0.0053125
GMT+1:00 Europe/Prague,31,0.0012109375
GMT+1:00 Europe/Stockholm,18,0.000703125
GMT+1:00 Europe/Vienna,18,0.000703125
GMT+1:00 Europe/Warsaw,53,0.0020703125
GMT+1:00 Europe/Zurich,55,0.0021484375
GMT+2:00 Africa/Cairo,31,0.0012109375
GMT+2:00 Asia/Beirut,28,0.00109375
GMT+2:00 Asia/Gaza,17,0.0006640625
GMT+2:00 Asia/Istanbul,231,0.0090234375
GMT+2:00 Asia/Jerusalem,1,3.90625e-05
GMT+2:00 Asia/Nicosia,10,0.000390625
GMT+2:00 Europe/Athens,28,0.00109375
GMT+2:00 Europe/Bucharest,27,0.0010546875
GMT+2:00 Europe/Helsinki,8,0.0003125
GMT+2:00 Europe/Istanbul,88,0.0034375
GMT+2:00 Europe/Sofia,5,0.0001953125
GMT+3:00 Europe/Moscow,102,0.003984375
GMT+4:00 Asia/Baku,4,0.00015625
GMT+4:00 Europe/Samara,1,3.90625e-05
GMT+5:00 Asia/Yekaterinburg,6,0.000234375
GMT-03:00 America/Argentina/Bu,108,0.00421875
GMT-03:00 America/Sao_Paulo,102,0.003984375
GMT-03:30 America/St_Johns,7,0.0002734375
GMT-04:00 America/Halifax,22,0.000859375
GMT-04:00 America/Moncton,14,0.000546875
GMT-04:00 America/Oranjestad,3,0.0001171875
GMT-04:00 America/Puerto_Rico,24,0.0009375
GMT-04:00 America/Santiago,96,0.00375
GMT-04:00 America/Willemstad,3,0.0001171875
GMT-05:00 America/Indianapolis,191,0.0074609375
GMT-05:00 America/Lima,89,0.0034765625
GMT-05:00 America/Montreal,100,0.00390625
GMT-05:00 America/Nassau,10,0.000390625
GMT-05:00 America/New_York,4889,0.1909765625
GMT-05:00 America/Toronto,518,0.020234375
GMT-06:00 America/Chicago,2901,0.1133203125
GMT-06:00 America/Mexico_City,531,0.0207421875
GMT-06:00 America/Rainy_River,3,0.0001171875
GMT-06:00 America/Regina,30,0.001171875
GMT-06:00 America/Winnipeg,54,0.002109375
GMT-07:00 America/Chihuahua,24,0.0009375
GMT-07:00 America/Denver,804,0.03140625
GMT-07:00 America/Edmonton,289,0.0112890625
GMT-07:00 America/Hermosillo,8,0.0003125
GMT-08:00 America/Los_Angeles,4194,0.163828125
GMT-08:00 America/Tijuana,28,0.00109375
GMT-08:00 America/Vancouver,407,0.0158984375
GMT-09:00 America/Anchorage,49,0.0019140625
GMT-10:00 Pacific/Honolulu,99,0.0038671875
